          FW          	CUT	SVN	Coex
rtl8761au8192ee_fw    	 D	20411	0007
rtl8761au_fw          	 D	20411	0007
rtl8723c_fw           	 B	16592	0700
rtl8703cs_fw          	 C	17903	0a0a
rtl8761aw8192eu_fw    	 D	20411	0007
rtl8761at8812ae_fw    	 D	19653	0006
rtl8723ds_fw          	 C	22373	3333
rtl8761bt_fw          	 B	22481	0202
rtl8703bs_fw          	 B	22073	1c00
rtl8822b_fw           	 C	22746	7979
rtl8821cs_fw          	 B	22037	4139
rtl8761at_fw          	 D	20411	0007
rtl8822c_fw           	 D	22633	1717
rtl8761b_fw           	 B	22481	0202
rtl8761au8812ae_fw    	 D	19653	0006
rtl8821as_fw          	 B	19132	635d
rtl8821a_fw           	 B	19132	635d
rtl8723bs_fw          	 B	19897	6d50
rtl8725a_fw           	 B	22481	0202
rtl8723b_fw           	 B	19897	6d50
rtl8723cs_vf_fw       	 B	15854	5844
rtl8703as_fw          	 B	12234	473d
rtl8822cs_fw          	 D	22633	1717
rtl8723cs_xx_fw       	 B	22073	1c00
rtl8725as_fw          	 B	22481	0202
rtl8821c_fw           	 B	22037	4139
rtl8822bs_fw          	 C	22746	7979
rtl8723d_fw           	 C	22373	3333
rtl8723cs_cg_fw       	 B	15854	5844
rtl8761at8192ee_fw    	 D	20411	0007
rtl8761cs_fw          	 B	21127	0606
rtl8723bs_VQ0_fw      	 B	16527	6549
